transformer_block,rate,dependent_variable,independent_variable,pearson_corr,spearman_corr,kendall_tau,pearson_pval,spearman_pval,kendall_pval
attention.dense.weight,0.8,final_top1_accuracy,lnum,-0.8845660548708687,-0.9304347826086956,-0.8115942028985507,9.708545041387532e-09,4.6011084183702904e-11,9.883108561864623e-11
attention.dense.weight,0.8,final_top1_accuracy,norm,-0.14504887305372532,-0.17739130434782607,-0.16666666666666669,0.49888344486277736,0.40696255139715676,0.2675071977260416
attention.dense.weight,0.8,final_top1_accuracy,relative_error_x,-0.226855449631646,-0.28782608695652173,-0.1956521739130435,0.2864199745698799,0.17261549938271942,0.1907535857010569
attention.dense.weight,0.8,final_top1_accuracy,original_frobenius_norm,-0.08643925141754921,-0.16260869565217392,-0.15942028985507248,0.6879702022938274,0.44775415138241514,0.28955196649018894
attention.dense.weight,0.8,final_top1_accuracy,original_spectral_norm,-0.41346398707623794,-0.5339130434782609,-0.391304347826087,0.044609988685994764,0.007204793915181844,0.006957485693871034
attention.dense.weight,0.8,final_top1_accuracy,original_nuclear_norm,-0.10938173459409423,-0.13391304347826086,-0.14492753623188404,0.6109037770397692,0.5327356259700111,0.33713069668005113
attention.dense.weight,0.8,final_top1_accuracy,original_condition_number,0.4734738351920872,-0.19130434782608693,-0.13768115942028986,0.019439620749887365,0.37053280666994315,0.3626613999876752
attention.dense.weight,0.8,final_top1_accuracy,original_shannon_entropy,-0.2115209327381663,-0.27391304347826084,-0.20289855072463767,0.32109773500345257,0.1952518810744161,0.17433102126494238
attention.dense.weight,0.8,final_top1_accuracy,diff_frobenius_norm,-0.14491122865899092,-0.17739130434782607,-0.16666666666666669,0.4992952750103641,0.40696255139715676,0.2675071977260416
attention.dense.weight,0.8,final_top1_accuracy,diff_spectral_norm,-0.10567215172376887,-0.15043478260869564,-0.15942028985507248,0.6231227069623704,0.48290169232371793,0.28955196649018894
attention.dense.weight,0.8,final_top1_accuracy,diff_nuclear_norm,-0.1507531301946678,-0.17478260869565218,-0.15217391304347824,0.4819652224211945,0.41400702240858334,0.31275941965675913
attention.dense.weight,0.8,final_top1_accuracy,diff_condition_number,-0.03449557373115156,-0.04347826086956521,-0.043478260869565216,0.8728662660893618,0.8401329841149333,0.7872722233024857
attention.dense.weight,0.8,final_top1_accuracy,diff_shannon_entropy,-0.0788121166796846,-0.17043478260869566,-0.11594202898550725,0.7143219731141319,0.4258955363074477,0.44607885611402504
attention.dense.weight,0.8,final_top1_accuracy,energy_retained,0.2190961053052724,0.28782608695652173,0.1956521739130435,0.3036611054819841,0.17261549938271942,0.1907535857010569
attention.dense.weight,0.8,final_top1_accuracy,lnum_over_spectral,-0.8530013554892859,-0.9234782608695651,-0.8043478260869565,1.1895329367917916e-07,1.2702470317295964e-10,1.7556002419973754e-10
attention.dense.weight,0.8,final_top1_accuracy,edited_frobenius_norm,-0.043366146180219445,-0.07913043478260869,-0.07246376811594202,0.8405400682218809,0.7132155791016112,0.6409517533780805
attention.dense.weight,0.8,final_top1_accuracy,edited_spectral_norm,-0.4134639424235732,-0.5339130434782609,-0.391304347826087,0.04461001402909357,0.007204793915181844,0.006957485693871034
attention.dense.weight,0.8,final_top1_accuracy,edited_nuclear_norm,-0.03438786217861001,-0.07565217391304348,-0.08695652173913043,0.8732601111620124,0.7253351223309568,0.5722308252961283
attention.dense.weight,0.8,final_top1_accuracy,edited_condition_number,0.3289056429809599,0.6382608695652173,0.43478260869565216,0.11657527530237252,0.0007906217319767449,0.0024990547610735845
attention.dense.weight,0.8,final_top1_accuracy,edited_cut_off_sv,-0.2756577854920601,-0.6453577017096824,-0.45372125540039226,0.1923075552329726,0.0006606010482854622,0.001925398574055901
attention.dense.weight,0.8,final_top1_accuracy,edited_shannon_entropy,0.005484770174828735,0.023478260869565212,0.007246376811594203,0.9797076278202008,0.9132865779270147,0.9804334461613707
attention.dense.weight,0.8,final_perplexity,lnum,0.628194359216912,0.8252173913043478,0.6956521739130435,0.0010125467886330235,6.966885939410449e-07,1.800588368372513e-07
attention.dense.weight,0.8,final_perplexity,norm,-0.10282331699228764,0.04434782608695652,0.09420289855072464,0.6325726051065625,0.8369769840650598,0.5392054402251256
attention.dense.weight,0.8,final_perplexity,relative_error_x,0.002185753892831613,0.15478260869565216,0.12318840579710144,0.991912537555077,0.4701917070737499,0.4171545702283505
attention.dense.weight,0.8,final_perplexity,original_frobenius_norm,-0.125081159542298,0.033913043478260865,0.07246376811594202,0.5603290002579131,0.8749966229566861,0.6409517533780805
attention.dense.weight,0.8,final_perplexity,original_spectral_norm,0.7072098683242125,0.577391304347826,0.463768115942029,0.00011140543151250015,0.0031332357033776004,0.0011772109119610658
attention.dense.weight,0.8,final_perplexity,original_nuclear_norm,-0.12689993921260012,0.002608695652173913,0.07246376811594202,0.5545943636686892,0.9903476848039034,0.6409517533780805
attention.dense.weight,0.8,final_perplexity,original_condition_number,-0.23729312522739432,0.17043478260869566,0.15217391304347824,0.26421839938836994,0.4258955363074477,0.31275941965675913
attention.dense.weight,0.8,final_perplexity,original_shannon_entropy,0.011615403651437706,0.16695652173913042,0.13043478260869565,0.9570407240201044,0.4355381053206143,0.38934138095270887
attention.dense.weight,0.8,final_perplexity,diff_frobenius_norm,-0.10291515856304541,0.04434782608695652,0.09420289855072464,0.6322670743387402,0.8369769840650598,0.5392054402251256
attention.dense.weight,0.8,final_perplexity,diff_spectral_norm,-0.11637409761496333,0.015652173913043476,0.07246376811594202,0.5881456094780478,0.9421320594035385,0.6409517533780805
attention.dense.weight,0.8,final_perplexity,diff_nuclear_norm,-0.10165446963133,0.046956521739130425,0.07971014492753624,0.6364661080681416,0.8275237958648594,0.6061655660716706
attention.dense.weight,0.8,final_perplexity,diff_condition_number,-0.1336102509017627,-0.020869565217391303,-0.014492753623188406,0.5336709343643631,0.9228917031216202,0.9413463081964002
attention.dense.weight,0.8,final_perplexity,diff_shannon_entropy,-0.008166212560553759,0.16173913043478258,0.11594202898550725,0.9697906013705582,0.4502188848463706,0.44607885611402504
attention.dense.weight,0.8,final_perplexity,energy_retained,0.00937817226381521,-0.15478260869565216,-0.12318840579710144,0.9653096382103197,0.4701917070737499,0.4171545702283505
attention.dense.weight,0.8,final_perplexity,lnum_over_spectral,0.6132675683661006,0.8234782608695651,0.6884057971014493,0.001439239019083443,7.701888367045257e-07,2.619805784361419e-07
attention.dense.weight,0.8,final_perplexity,edited_frobenius_norm,-0.1309148895189322,-0.04608695652173912,-0.014492753623188406,0.5420305812998404,0.8306723439322352,0.9413463081964002
attention.dense.weight,0.8,final_perplexity,edited_spectral_norm,0.7072100836803483,0.577391304347826,0.463768115942029,0.00011140465560967369,0.0031332357033776004,0.0011772109119610658
attention.dense.weight,0.8,final_perplexity,edited_nuclear_norm,-0.1571184539211329,-0.05739130434782608,0.0,0.4634350422242628,0.7899551413098403,1.0
attention.dense.weight,0.8,final_perplexity,edited_condition_number,-0.46864629805431607,-0.5817391304347826,-0.42028985507246375,0.020892923116329766,0.002864741090903554,0.0035635597431467976
attention.dense.weight,0.8,final_perplexity,edited_cut_off_sv,0.704782976444047,0.6001304773311064,0.43920217522757976,0.0001204554077390813,0.0019338335584385253,0.0026798628020249225
attention.dense.weight,0.8,final_perplexity,edited_shannon_entropy,-0.2043390752826924,-0.1643478260869565,-0.07971014492753624,0.33817838466278377,0.44284615123933957,0.6061655660716706
attention.dense.weight,0.8,edited_top1_accuracy,lnum,0.47638375055060717,0.3735594782807394,0.2722327532402354,0.018604003004808273,0.07216067257641832,0.06275790689861092
attention.dense.weight,0.8,edited_top1_accuracy,norm,-0.16942361118057067,-0.15525114522261227,-0.1343014915985161,0.4286867283727587,0.46883237679530954,0.35859511242523767
attention.dense.weight,0.8,edited_top1_accuracy,relative_error_x,0.07926456615903045,-0.30267450161047105,-0.235935052808204,0.7127495398339161,0.1505432360110145,0.10679178879725576
attention.dense.weight,0.8,edited_top1_accuracy,original_frobenius_norm,-0.21337570943682646,-0.19265058076643485,-0.1633396519441412,0.31677327035878283,0.36711101855183526,0.26419034422086607
attention.dense.weight,0.8,edited_top1_accuracy,original_spectral_norm,-0.11903322329667038,-0.12263535841113912,-0.06896563082085963,0.5795877260779849,0.5680824793632855,0.6373346215537954
attention.dense.weight,0.8,edited_top1_accuracy,original_nuclear_norm,-0.19692279843491003,-0.19047619497900334,-0.1633396519441412,0.3563740291924782,0.3726468800362529,0.26419034422086607
attention.dense.weight,0.8,edited_top1_accuracy,original_condition_number,-0.3261036691764479,-0.3144161848626014,-0.2068968924625789,0.11990907153720373,0.13456523672938975,0.15727791238811745
attention.dense.weight,0.8,edited_top1_accuracy,original_shannon_entropy,0.06463719202577825,-0.21482931579823658,-0.18511827220336002,0.7641269541931616,0.31340910588056914,0.20572299805768124
attention.dense.weight,0.8,edited_top1_accuracy,diff_frobenius_norm,-0.16951140734844422,-0.15525114522261227,-0.1343014915985161,0.4284439883627504,0.46883237679530954,0.35859511242523767
attention.dense.weight,0.8,edited_top1_accuracy,diff_spectral_norm,-0.167438691639041,-0.20047836960118842,-0.1633396519441412,0.4341944696778911,0.3475801296422397,0.26419034422086607
attention.dense.weight,0.8,edited_top1_accuracy,diff_nuclear_norm,-0.17853671961824535,-0.16046967111244803,-0.1343014915985161,0.4038906361139366,0.4538298914496983,0.35859511242523767
attention.dense.weight,0.8,edited_top1_accuracy,diff_condition_number,0.17398466271527435,0.23787780514501097,0.15608011185773496,0.41617509667284824,0.26300835920402715,0.28600904888063594
attention.dense.weight,0.8,edited_top1_accuracy,diff_shannon_entropy,-0.07101268440509184,-0.2552728914444633,-0.18511827220336002,0.7416004651178127,0.22863299015339386,0.20572299805768124
attention.dense.weight,0.8,edited_top1_accuracy,energy_retained,-0.05364545292129202,0.30267450161047105,0.235935052808204,0.8033938265000257,0.1505432360110145,0.10679178879725576
attention.dense.weight,0.8,edited_top1_accuracy,lnum_over_spectral,0.6110004159650918,0.398347476257459,0.29401137349945416,0.001515896812773939,0.053857770300048936,0.044455007454585325
attention.dense.weight,0.8,edited_top1_accuracy,edited_frobenius_norm,-0.22486843239534068,-0.13350728734829684,-0.105263331252891,0.29077528714067175,0.5339891583922398,0.4718026759320014
attention.dense.weight,0.8,edited_top1_accuracy,edited_spectral_norm,-0.11903303474664623,-0.12263535841113912,-0.06896563082085963,0.5795883309586953,0.5680824793632855,0.6373346215537954
attention.dense.weight,0.8,edited_top1_accuracy,edited_nuclear_norm,-0.21054218369792216,-0.136551427450701,-0.105263331252891,0.3233940959349042,0.524618611949863,0.4718026759320014
attention.dense.weight,0.8,edited_top1_accuracy,edited_condition_number,0.08508559908626548,0.052185258898357074,0.0471870105616408,0.6926224543430124,0.8086473455405123,0.7470311555982709
attention.dense.weight,0.8,edited_top1_accuracy,edited_cut_off_sv,0.05456131122971139,-0.12657677250978686,-0.08727272727272725,0.8001029261807485,0.5556113594500307,0.5513946258268929
attention.dense.weight,0.8,edited_top1_accuracy,edited_shannon_entropy,0.012039119319374125,-0.23526854220009313,-0.1705991920305475,0.9554751095028662,0.2684359653808655,0.24354744006410667
attention.dense.weight,0.8,edited_perplexity,lnum,0.37186888898274834,-0.24,-0.1956521739130435,0.07356256349823764,0.25864624054600843,0.1907535857010569
attention.dense.weight,0.8,edited_perplexity,norm,-0.15852544192097298,-0.17739130434782607,-0.11594202898550725,0.4593896102831204,0.40696255139715676,0.44607885611402504
attention.dense.weight,0.8,edited_perplexity,relative_error_x,-0.07966285702980848,0.03565217391304347,-0.014492753623188406,0.7113662670242704,0.8686390462246146,0.9413463081964002
attention.dense.weight,0.8,edited_perplexity,original_frobenius_norm,-0.15980379427899213,-0.11391304347826085,-0.06521739130434782,0.455730048078499,0.5961140506694134,0.6765261156179087
attention.dense.weight,0.8,edited_perplexity,original_spectral_norm,0.6773783310001569,0.25304347826086954,0.16666666666666669,0.0002768138185285275,0.23286356530495447,0.2675071977260416
attention.dense.weight,0.8,edited_perplexity,original_nuclear_norm,-0.17161488508870507,-0.15739130434782608,-0.10869565217391304,0.422650543975637,0.46264909166367674,0.4760860141131976
attention.dense.weight,0.8,edited_perplexity,original_condition_number,-0.09254538412954497,0.12782608695652173,0.07246376811594202,0.667122873641934,0.5516845044816034,0.6409517533780805
attention.dense.weight,0.8,edited_perplexity,original_shannon_entropy,-0.06495906136805424,-0.010434782608695651,-0.007246376811594203,0.7629850649670308,0.9614038727773804,0.9804334461613707
attention.dense.weight,0.8,edited_perplexity,diff_frobenius_norm,-0.1585709197973535,-0.17739130434782607,-0.11594202898550725,0.459259158012742,0.40696255139715676,0.44607885611402504
attention.dense.weight,0.8,edited_perplexity,diff_spectral_norm,-0.15760978497916373,-0.14956521739130432,-0.07971014492753624,0.4620202530619487,0.48546433225418195,0.6061655660716706
attention.dense.weight,0.8,edited_perplexity,diff_nuclear_norm,-0.15946992145416566,-0.15739130434782608,-0.11594202898550725,0.4566843571445346,0.46264909166367674,0.44607885611402504
attention.dense.weight,0.8,edited_perplexity,diff_condition_number,-0.1704033469678245,-0.1826086956521739,-0.12318840579710144,0.4259821610093598,0.3930749931122939,0.4171545702283505
attention.dense.weight,0.8,edited_perplexity,diff_shannon_entropy,-0.04111742414608553,0.07130434782608694,0.03623188405797101,0.8487133335545081,0.7405746871767942,0.8252716626005498
attention.dense.weight,0.8,edited_perplexity,energy_retained,0.08951944805654104,-0.03565217391304347,0.014492753623188406,0.6774252008619008,0.8686390462246146,0.9413463081964002
attention.dense.weight,0.8,edited_perplexity,lnum_over_spectral,0.3573271320150969,-0.24695652173913044,-0.20289855072463767,0.08649031831142923,0.244675845945762,0.17433102126494238
attention.dense.weight,0.8,edited_perplexity,edited_frobenius_norm,-0.14966994462652772,-0.14956521739130432,-0.12318840579710144,0.48515533525224586,0.48546433225418195,0.4171545702283505
attention.dense.weight,0.8,edited_perplexity,edited_spectral_norm,0.6773785883865545,0.25304347826086954,0.16666666666666669,0.0002768117671408413,0.23286356530495447,0.2675071977260416
attention.dense.weight,0.8,edited_perplexity,edited_nuclear_norm,-0.17727710917704323,-0.15217391304347824,-0.10869565217391304,0.40726952263689464,0.4777969871903096,0.4760860141131976
attention.dense.weight,0.8,edited_perplexity,edited_condition_number,-0.42314744670032933,-0.22608695652173913,-0.16666666666666669,0.03937385355116342,0.2880995376657835,0.2675071977260416
attention.dense.weight,0.8,edited_perplexity,edited_cut_off_sv,0.766417310162042,0.249184611239655,0.1633396519441412,1.2596456152856311e-05,0.2403075387279117,0.26419034422086607
attention.dense.weight,0.8,edited_perplexity,edited_shannon_entropy,-0.22384598069005934,-0.02,0.028985507246376812,0.29303243367294146,0.9260958020254711,0.8636755052590571
attention.dense.weight,0.8,final_change_from_reduction,lnum,-0.1029694489223828,-0.09001957159966595,-0.0471870105616408,0.632086493211766,0.6757185076048402,0.7470311555982709
attention.dense.weight,0.8,final_change_from_reduction,norm,0.11110951998273783,0.10524027211168678,0.06896563082085963,0.605246611305851,0.6245516406258467,0.6373346215537954
attention.dense.weight,0.8,final_change_from_reduction,relative_error_x,-0.2426413932764198,-0.3483366031465334,-0.2649732131538291,0.25328242745384855,0.09529400866488351,0.07009771995684784
attention.dense.weight,0.8,final_change_from_reduction,original_frobenius_norm,0.26463785681220126,0.1561208995375849,0.11978241142570356,0.21141964815673653,0.46631439395024943,0.41290211507306973
attention.dense.weight,0.8,final_change_from_reduction,original_spectral_norm,-0.2577752489996697,-0.28006088942118296,-0.235935052808204,0.22394544786440962,0.1850124892485898,0.10679178879725576
attention.dense.weight,0.8,final_change_from_reduction,original_nuclear_norm,0.1806044520922599,0.1369863046081873,0.105263331252891,0.398377950725697,0.5232863882834956,0.4718026759320014
attention.dense.weight,0.8,final_change_from_reduction,original_condition_number,-0.21397935487547398,-0.6597086479067307,-0.4682403355732048,0.31537355473535356,0.00045294992784179755,0.001370690787031305
attention.dense.weight,0.8,final_change_from_reduction,original_shannon_entropy,-0.3820306399578071,-0.41139379098204826,-0.33030907393148556,0.06544016345367942,0.04579713625910021,0.023952183036890295
attention.dense.weight,0.8,final_change_from_reduction,diff_frobenius_norm,0.1111277342795213,0.10524027211168678,0.06896563082085963,0.6051870899688951,0.6245516406258467,0.6373346215537954
attention.dense.weight,0.8,final_change_from_reduction,diff_spectral_norm,0.22245226990062295,0.12785388430097483,0.09074425108007846,0.2961267252438088,0.5515972760956737,0.5350596845969551
attention.dense.weight,0.8,final_change_from_reduction,diff_nuclear_norm,0.06246240822708868,0.06131767920556956,0.05444655064804708,0.7718547848796471,0.7759309627196649,0.7097584217371342
attention.dense.weight,0.8,final_change_from_reduction,diff_condition_number,-0.1519344344316914,0.013481191882075578,0.01814885021601569,0.47849827249333865,0.9501479326690636,0.9012676219757819
attention.dense.weight,0.8,final_change_from_reduction,diff_shannon_entropy,-0.6069891347032739,-0.5627310417872838,-0.40290447479554836,0.0016600957123871019,0.004200997930261093,0.00588472880284879
attention.dense.weight,0.8,final_change_from_reduction,energy_retained,0.26405681773081424,0.3483366031465334,0.2649732131538291,0.2124615226804591,0.09529400866488351,0.07009771995684784
attention.dense.weight,0.8,final_change_from_reduction,lnum_over_spectral,-0.13478291670842796,-0.09045444875715226,-0.03992747047523452,0.5300529377652201,0.6742357289288159,0.7849051739730706
attention.dense.weight,0.8,final_change_from_reduction,edited_frobenius_norm,0.36566145916456627,0.27875625794872405,0.2068968924625789,0.0788880380727687,0.18715384885676595,0.15727791238811745
attention.dense.weight,0.8,final_change_from_reduction,edited_spectral_norm,-0.25777536402177337,-0.28006088942118296,-0.235935052808204,0.22394523387914406,0.1850124892485898,0.10679178879725576
attention.dense.weight,0.8,final_change_from_reduction,edited_nuclear_norm,0.3551901176630301,0.2739726092163746,0.2068968924625789,0.08852533416121505,0.19515085765963874,0.15727791238811745
attention.dense.weight,0.8,final_change_from_reduction,edited_condition_number,0.21471036184386058,0.18830180919157177,0.14882057177132868,0.3136835832529232,0.3782305282417444,0.3090138180164609
attention.dense.weight,0.8,final_change_from_reduction,edited_cut_off_sv,-0.10377387340617593,-0.29969551979121356,-0.23999999999999996,0.6294132043614571,0.154802173161475,0.10140147434411852
attention.dense.weight,0.8,final_change_from_reduction,edited_shannon_entropy,0.12160922921380661,0.02957164670906901,0.025408390302421965,0.5713495746906297,0.8908990221852948,0.8621136085061991
attention.dense.weight,0.8,final_change_from_reduction_ratio,lnum,-0.37013805425986956,-0.3817391304347826,-0.24637681159420288,0.0750191756077438,0.06566315225644624,0.09679484130838545
attention.dense.weight,0.8,final_change_from_reduction_ratio,norm,0.0841124145402142,0.05565217391304347,0.05072463768115942,0.6959737955996471,0.7961874995255513,0.749761450490796
attention.dense.weight,0.8,final_change_from_reduction_ratio,relative_error_x,-0.30888660344094504,-0.42260869565217385,-0.34057971014492755,0.1419305341510541,0.0396517986761955,0.019867880493143635
attention.dense.weight,0.8,final_change_from_reduction_ratio,original_frobenius_norm,0.2565400440200821,0.13304347826086957,0.11594202898550725,0.22625124509950703,0.5354237325436195,0.44607885611402504
